total_bill,tip,sex,smoker,day,time,size
17.31,3.5,female,no,sun,dinner,2
29.93,5.07,male,no,sun,dinner,4
10.65,1.5,female,no,thur,lunch,2
12.43,1.8,female,no,thur,lunch,2
24.08,2.92,female,no,thur,lunch,4
11.69,2.31,male,no,thur,lunch,2
13.42,1.68,female,no,thur,lunch,2
14.26,2.5,male,no,thur,lunch,2
15.95,2.0,male,no,thur,lunch,2
12.48,2.52,female,no,thur,lunch,2
29.8,4.2,female,no,thur,lunch,6
8.52,1.48,male,no,thur,lunch,2
14.52,2.0,female,no,thur,lunch,2
11.38,2.0,female,no,thur,lunch,2
22.82,2.18,male,no,thur,lunch,3
19.08,1.5,male,no,thur,lunch,2
20.27,2.83,female,no,thur,lunch,2
11.17,1.5,female,no,thur,lunch,2
12.26,2.0,female,no,thur,lunch,2
18.26,3.25,female,no,thur,lunch,2
8.51,1.25,female,no,thur,lunch,2
10.33,2.0,female,no,thur,lunch,2
14.15,2.0,female,no,thur,lunch,2
16.0,2.0,male,yes,thur,lunch,2
13.16,2.75,female,no,thur,lunch,2
17.47,3.5,female,no,thur,lunch,2
34.3,6.7,male,no,thur,lunch,6
41.19,5.0,male,no,thur,lunch,5
27.05,5.0,female,no,thur,lunch,6
16.43,2.3,female,no,thur,lunch,2
8.35,1.5,female,no,thur,lunch,2
18.64,1.36,female,no,thur,lunch,3
11.87,1.63,female,no,thur,lunch,2
9.78,1.73,male,no,thur,lunch,2
7.51,2.0,male,no,thur,lunch,2
14.07,2.5,male,no,sun,dinner,2
13.13,2.0,male,no,sun,dinner,2
17.26,2.74,male,no,sun,dinner,3
24.55,2.0,male,no,sun,dinner,4
19.77,2.0,male,no,sun,dinner,4
29.85,5.14,female,no,sun,dinner,5
48.17,5.0,male,no,sun,dinner,6
25.0,3.75,female,no,sun,dinner,4
13.39,2.61,female,no,sun,dinner,2
16.49,2.0,male,no,sun,dinner,4
21.5,3.5,male,no,sun,dinner,4
12.66,2.5,male,no,sun,dinner,2
16.21,2.0,female,no,sun,dinner,3
13.81,2.0,male,no,sun,dinner,2
17.51,3.0,female,yes,sun,dinner,2
24.52,3.48,male,no,sun,dinner,3
20.76,2.24,male,no,sun,dinner,2
31.71,4.5,male,no,sun,dinner,4
10.59,1.61,female,yes,sat,dinner,2
10.63,2.0,female,yes,sat,dinner,2
50.81,10.0,male,yes,sat,dinner,3
15.81,3.16,male,yes,sat,dinner,2
7.25,5.15,male,yes,sun,dinner,2
31.85,3.18,male,yes,sun,dinner,2
16.82,4.0,male,yes,sun,dinner,2
32.9,3.11,male,yes,sun,dinner,2
17.89,2.0,male,yes,sun,dinner,2
14.48,2.0,male,yes,sun,dinner,2
9.6,4.0,female,yes,sun,dinner,2
34.63,3.55,male,yes,sun,dinner,2
34.65,3.68,male,yes,sun,dinner,4
23.33,5.65,male,yes,sun,dinner,2
45.35,3.5,male,yes,sun,dinner,3
23.17,6.5,male,yes,sun,dinner,4
40.55,3.0,male,yes,sun,dinner,2
20.69,5.0,male,no,sun,dinner,5
20.9,3.5,female,yes,sun,dinner,3
30.46,2.0,male,yes,sun,dinner,5
18.15,3.5,female,yes,sun,dinner,3
23.1,4.0,male,yes,sun,dinner,3
15.69,1.5,male,yes,sun,dinner,2
19.81,4.19,female,yes,thur,lunch,2
28.44,2.56,male,yes,thur,lunch,2
15.48,2.02,male,yes,thur,lunch,2
16.58,4.0,male,yes,thur,lunch,2
7.56,1.44,male,no,thur,lunch,2
10.34,2.0,male,yes,thur,lunch,2
43.11,5.0,female,yes,thur,lunch,4
13.0,2.0,female,yes,thur,lunch,2
13.51,2.0,male,yes,thur,lunch,2
18.71,4.0,male,yes,thur,lunch,3
12.74,2.01,female,yes,thur,lunch,2
16.4,2.5,female,yes,thur,lunch,2
20.53,4.0,male,yes,thur,lunch,4
16.47,3.23,female,yes,thur,lunch,3
26.59,3.41,male,yes,sat,dinner,3
38.73,3.0,male,yes,sat,dinner,4
24.27,2.03,male,yes,sat,dinner,2
12.76,2.23,female,yes,sat,dinner,2
30.06,2.0,male,yes,sat,dinner,3
25.89,5.16,male,yes,sat,dinner,4
48.33,9.0,male,no,sat,dinner,4
13.27,2.5,female,yes,sat,dinner,2
28.17,6.5,female,yes,sat,dinner,3
12.9,1.1,female,yes,sat,dinner,2
28.15,3.0,male,yes,sat,dinner,5
11.59,1.5,male,yes,sat,dinner,2
7.74,1.44,male,yes,sat,dinner,2
30.14,3.09,female,yes,sat,dinner,4
12.16,2.2,male,yes,fri,lunch,2
13.42,3.48,female,yes,fri,lunch,2
8.58,1.92,male,yes,fri,lunch,1
15.98,3.0,female,no,fri,lunch,3
13.42,1.58,male,yes,fri,lunch,2
16.27,2.5,female,yes,fri,lunch,2
10.09,2.0,female,yes,fri,lunch,2
20.45,3.0,male,no,sat,dinner,4
13.28,2.72,male,no,sat,dinner,2
22.12,2.88,female,yes,sat,dinner,2
24.01,2.0,male,yes,sat,dinner,4
15.69,3.0,male,yes,sat,dinner,3
11.61,3.39,male,no,sat,dinner,2
10.77,1.47,male,no,sat,dinner,2
15.53,3.0,male,yes,sat,dinner,2
10.07,1.25,male,no,sat,dinner,2
12.6,1.0,male,yes,sat,dinner,2
32.83,1.17,male,yes,sat,dinner,2
35.83,4.67,female,no,sat,dinner,3
29.03,5.92,male,no,sat,dinner,3
27.18,2.0,female,yes,sat,dinner,2
22.67,2.0,male,yes,sat,dinner,2
17.82,1.75,male,no,sat,dinner,2
18.78,3.0,female,no,thur,dinner,2
